id,title,artist,language,duration,release_date,isrc,upc,repertoire_owner,link,publishing_details,version,created_at,updated_at,remark,type,master_recording_details
574a6002-dd60-4a29-8229-b90e342624ed,LEPAK SLATAN,"[""Akkimwaru""]",Malay,"1' 49""",2022-03-28,,,,https://soundcloud.com/user-342407375/lepak-slatan-online-audio,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
57e05c3d-5606-428b-8a2a-1aacf498871b,BUKAN MACAM NI,"[""Akkimwaru""]",Malay,"1' 46""",2023-01-04,,,,https://soundcloud.com/user-342407375/bukan-macam-ni,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
5aff526b-6663-4429-a7f9-cd56210f3b11,LEPAS PAPER,"[""Akkimwaru""]",Malay,"2' 49""",2021-11-26,,,,https://soundcloud.com/user-342407375/akkimwaru-lepas-paper,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
5beaf204-8185-4a2f-941f-b1e615e228db,KAWAN LAWAN,"[""Quai""]",Malay,"3'52""",2016-12-07,,,,https://www.youtube.com/watch?v=eE3mROkbiHQ,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""QUAI""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""QUAI""}]}",,2025-01-04 15:04:04.110586+00,2025-01-04 15:04:04.110586+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""AUDIO"",""repertoireOwner"":""Ikhmal Danial Bin Helme Iskandar""}"
5c481846-d5a5-4383-af18-978f9b5e8a64,TANYA TUHAN,"[""Quai""]",Malay,"4'25""",2020-07-27,SE6I32050715,,,https://www.youtube.com/watch?v=pvxqtY-z2Hw,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""33.34%"",""songwriter"":""QUAI""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""4.17%"",""songwriter"":""Hakiim Tahir""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""4.17%"",""songwriter"":""Shazrul Rejab""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""33.34%"",""songwriter"":""QUAI""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""4.17%"",""songwriter"":""Shazrul Rejab""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""4.17%"",""songwriter"":""Hakiim Tahir""}]}",,2025-01-04 15:05:15.378294+00,2025-01-04 15:05:15.378294+00,,Original,"{""upc"":"""",""isrc"":""SE6I32050715"",""version"":""AUDIO"",""repertoireOwner"":""Ikhmal Danial Bin Helme Iskandar""}"
5cb36b49-a58c-4f31-9c78-950e81376c6e,PLUG,"[""JAYSTATION""]",English,2:48,2023-12-05,SE6QE2369775,,,https://www.youtube.com/watch?v=eGz0ECXA7Po,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Naim bin Mohamad Fauzi""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Naim bin Mohamad Fauzi""}]}",,2025-01-04 14:40:22.90187+00,2025-01-04 14:40:22.90187+00,,Original,"{""upc"":"""",""isrc"":""SE6QE2369775"",""version"":""Audio"",""repertoireOwner"":""Naim Bin Muhamad Fauzi""}"
5d2f7d08-0a92-4734-8ea4-0fd5296c2d39,T R I P S E N D U,"[""Quai""]",Malay,"2'37""",2019-05-20,SE5751988977,,,https://www.youtube.com/watch?v=zbTEeqnPCrQ,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""QUAI""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""QUAI""}]}",,2025-01-04 15:05:15.378294+00,2025-01-04 15:05:15.378294+00,,Original,"{""upc"":"""",""isrc"":""SE5751988977"",""version"":""AUDIO"",""repertoireOwner"":""Ikhmal Danial Bin Helme Iskandar""}"
5d66fdcd-093b-4cd4-bb6e-4d2bddeb39a9,DUDUK,"[""Nobi""]",Malay,"3' 01""",2023-06-13,SE6XY2300293,,,https://www.youtube.com/watch?v=E2xDDi1LIUY,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Amirul Asrar bin Mazlan""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Johnasa""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Amirul Asrar bin Mazlan""}]}",,2025-01-04 14:46:02.419718+00,2025-01-04 14:46:02.419718+00,,Original,"{""upc"":"""",""isrc"":""SE6XY2300293"",""version"":""Audio"",""repertoireOwner"":""Amirul Asrar bin Mazlan""}"
5dc661df-3e90-4ff0-9d3e-a236b42a03a8,NOT4FREE,"[""Akkimwaru""]",Malay,"1' 41""",2022-11-07,,,,https://soundcloud.com/user-342407375/not4free,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
5f412ea2-7c9c-484e-a676-4c565b96950e,SKYWALKER,"[""Quai""]",Malay,"3'15""",2020-07-27,SE6I32050713,,,https://www.youtube.com/watch?v=YLcYlxxHKeI,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""40.00%"",""songwriter"":""QUAI""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""5.00%"",""songwriter"":""Shazrul Rejab""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""5.00%"",""songwriter"":""Hakiim Tahir""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""40.00%"",""songwriter"":""QUAI""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""5.00%"",""songwriter"":""Shazrul Rejab""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""5.00%"",""songwriter"":""Hakiim Tahir""}]}",,2025-01-04 15:05:15.378294+00,2025-01-04 15:05:15.378294+00,,Original,"{""upc"":"""",""isrc"":""SE6I32050713"",""version"":""AUDIO"",""repertoireOwner"":""Ikhmal Danial Bin Helme Iskandar""}"
